[2024-09-01 23:49:14] production.INFO: Starting search for tours {"start_date":"09/27/2024","end_date":"10/09/2024"} 
[2024-09-01 23:49:14] production.INFO: Parsed start and end dates {"start_date":"2024-09-27 00:00:00","end_date":"2024-10-09 00:00:00"} 
[2024-09-01 23:49:14] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-27 00:00:00","end_date":"2024-10-09 00:00:00"} 
[2024-09-01 23:49:14] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-27 00:00:00","end_date":"2024-10-09 00:00:00"} 
[2024-09-01 23:49:36] production.INFO: Starting search for tours {"start_date":"10/01/2024","end_date":"10/20/2024"} 
[2024-09-01 23:49:36] production.INFO: Parsed start and end dates {"start_date":"2024-10-01 00:00:00","end_date":"2024-10-20 00:00:00"} 
[2024-09-01 23:49:36] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-10-01 00:00:00","end_date":"2024-10-20 00:00:00"} 
[2024-09-01 23:49:36] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-10-01 00:00:00","end_date":"2024-10-20 00:00:00"} 
[2024-09-01 23:50:02] production.INFO: Starting search for tours {"start_date":"09/28/2024","end_date":"10/10/2024"} 
[2024-09-01 23:50:02] production.INFO: Parsed start and end dates {"start_date":"2024-09-28 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:50:02] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-28 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:50:02] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-28 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:50:16] production.INFO: Starting search for tours {"start_date":"09/28/2024","end_date":"10/31/2024"} 
[2024-09-01 23:50:16] production.INFO: Parsed start and end dates {"start_date":"2024-09-28 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:16] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-28 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:16] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-28 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:45] production.INFO: Starting search for tours {"start_date":"09/30/2024","end_date":"10/31/2024"} 
[2024-09-01 23:50:45] production.INFO: Parsed start and end dates {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:45] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:45] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:50] production.INFO: Starting search for tours {"start_date":"09/30/2024","end_date":"10/31/2024"} 
[2024-09-01 23:50:50] production.INFO: Parsed start and end dates {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:50] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:50:50] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-31 00:00:00"} 
[2024-09-01 23:51:01] production.INFO: Starting search for tours {"start_date":"09/30/2024","end_date":"10/10/2024"} 
[2024-09-01 23:51:01] production.INFO: Parsed start and end dates {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:51:01] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-30 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:51:01] production.INFO: SubQuery 2: start_date before end_date and duration overlap {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:51:04] production.INFO: Starting search for tours {"start_date":"09/30/2024","end_date":"10/10/2024"} 
[2024-09-01 23:51:04] production.INFO: Parsed start and end dates {"start_date":"2024-09-30 00:00:00","end_date":"2024-10-10 00:00:00"} 
[2024-09-01 23:51:04] production.INFO: SubQuery 1: start_date within range {"tour_date":"2024-09-30 00:00:00","end_date":"2024-10-10 00:00:00"} 
